# P	count	tag	form
1.00	1	VERB	вошел
1.00	1	NOUN	силу
1.00	1	ADV	настолько
1.00	1	VERB	одолеть
1.00	4	DET	своего
1.00	1	NOUN	папашу
1.00	1	VERB	обучался
1.00	1	ADJ	паяльному
1.00	1	NOUN	делу
1.00	2	ADP	К
1.00	1	DET	этой
1.00	1	ADJ	полезной
1.00	1	ADJ	почтенной
1.00	1	NOUN	профессии
1.00	3	ADV	теперь
1.00	1	VERB	вернулся
1.00	1	VERB	пришлось
1.00	1	NOUN	помощником
1.00	1	NOUN	хозяина
1.00	2	NOUN	мастерской
1.00	1	NOUN	хозяева
1.00	1	NOUN	мастерских
1.00	1	ADV	отнюдь
1.00	1	NOUN	помощники
1.00	1	VERB	носят
1.00	1	NOUN	брильянты
1.00	1	NOUN	величиной
1.00	1	NOUN	горошину
1.00	1	VERB	позволяют
1.00	1	VERB	смотреть
1.00	1	NOUN	свысока
1.00	1	ADJ	мраморную
1.00	1	NOUN	колоннаду
1.00	1	VERB	украшающую
1.00	1	NOUN	особняк
1.00	1	NOUN	сенатора
1.00	1	PROPN	Кларка
1.00	1	NUM	Восемь
1.00	3	NOUN	месяцев
1.00	1	VERB	пролетели
1.00	1	ADV	быстро
1.00	1	NUM	двумя
1.00	1	NOUN	актами
1.00	1	NOUN	пьесы
1.00	1	NOUN	поте
1.00	2	NOUN	лица
1.00	1	VERB	зарабатывал
1.00	1	NOUN	хлеб
1.00	1	VERB	обнаруживая
1.00	3	DET	никаких
1.00	1	ADJ	опасных
1.00	1	NOUN	склонностей
1.00	1	NOUN	рецидиву
1.00	1	ADV	по-прежнему
1.00	1	VERB	бесчинствовала
1.00	1	NOUN	«на
1.00	1	ADJ	большой
1.00	1	NOUN	дороге»
1.00	1	VERB	раскраивала
1.00	1	NOUN	черепа
1.00	1	NOUN	полицейским
1.00	1	VERB	задерживала
1.00	1	ADJ	запоздалых
1.00	1	NOUN	прохожих
1.00	1	VERB	изобретала
1.00	1	ADJ	новые
1.00	1	NOUN	способы
1.00	1	ADJ	мирного
1.00	1	NOUN	опустошения
1.00	1	NOUN	карманов
1.00	1	VERB	копировала
1.00	1	NOUN	покрой
1.00	1	NOUN	платья
1.00	1	NOUN	тона
1.00	1	NOUN	галстуков
1.00	1	ADJ	Пятой
1.00	1	VERB	жила
1.00	1	ADJ	собственным
1.00	1	NOUN	законам
1.00	1	ADV	открыто
1.00	1	VERB	попирая
1.00	1	NOUN	закон
1.00	3	PART	Не
1.00	1	ADV	крепко
1.00	1	VERB	держался
1.00	1	SCONJ	хотя
1.00	1	NOUN	блеск
1.00	1	VERB	сошел
1.00	2	ADV	давно
1.00	1	VERB	полированных
1.00	1	NOUN	минут
1.00	1	NUM	пятнадцать
1.00	1	VERB	простаивал
1.00	1	ADP	перед
1.00	1	NOUN	зеркалом
1.00	1	VERB	пытаясь
1.00	1	VERB	повязать
1.00	1	ADJ	темно
1.00	2	ADJ	красный
1.00	1	ADJ	шелковый
1.00	1	NOUN	галстук
1.00	1	ADV	видно
1.00	1	NOUN	мест
1.00	1	ADV	где
1.00	1	VERB	протерся
1.00	1	ADV	Однажды
1.00	1	VERB	явился
1.00	1	ADJ	каким-то
1.00	1	ADJ	таинственным
1.00	1	NOUN	свертком
1.00	1	NOUN	подмышкой
1.00	1	INTJ	Ну-ка
1.00	1	NOUN	разверни
1.00	1	ADV	небрежно
1.00	1	VERB	бросил
1.00	1	ADJ	широким
1.00	2	NOUN	жестом
1.00	1	VERB	протягивая
1.00	1	NOUN	сверток
1.00	5	PRON	тебе
1.00	1	ADJ	Нетерпеливые
1.00	1	NOUN	пальчики
1.00	1	VERB	разодрали
1.00	1	ADJ	бумажную
1.00	1	NOUN	обертку
1.00	1	ADV	громко
1.00	2	VERB	вскрикнула
1.00	1	NOUN	комнату
1.00	1	VERB	ворвался
1.00	1	ADJ	целый
1.00	1	NOUN	выводок
1.00	1	ADJ	маленьких
1.00	2	PROPN	Мак-Киверов
1.00	1	ADV	следом
1.00	2	PRON	ними
1.00	1	NOUN	мамаша
1.00	2	PUNCT	;
1.00	1	ADJ	истая
1.00	1	NOUN	дочь
1.00	1	PROPN	Евы
1.00	1	VERB	позволила
1.00	1	ADJ	единой
1.00	1	ADJ	лишней
1.00	1	NOUN	секунды
1.00	1	VERB	задержаться
1.00	6	ADP	у
1.00	1	NOUN	лоханки
1.00	1	ADJ	грязной
1.00	1	NOUN	посудой
1.00	1	ADV	Снова
1.00	1	NOUN	что-то
1.00	1	ADJ	темное
1.00	1	ADJ	длинное
1.00	1	ADJ	волнистое
1.00	1	VERB	мелькнуло
1.00	1	NOUN	воздухе
1.00	1	VERB	обвило
1.00	2	NOUN	плечи
1.00	6	NOUN	боа
1.00	1	NOUN	-констриктор
1.00	1	ADV	горделиво
1.00	1	VERB	изрек
1.00	1	VERB	любуясь
1.00	1	ADJ	круглой
1.00	1	ADJ	девичьей
1.00	1	NOUN	щекой
1.00	1	VERB	прильнувшей
1.00	1	ADJ	податливому
1.00	1	NOUN	меху
1.00	1	ADJ	Первосортная
1.00	1	NOUN	вещица
1.00	1	ADV	Впрочем
1.00	1	ADJ	перевороши
1.00	1	ADV	хоть
1.00	1	DET	всю
